MODEL,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
23.esg4wsc,11,7,9,501375083,236784,278391,443781,516355,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,12,7,9,501397145,239896,280295,488918,524952,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,13,7,9,501371370,275602,270207,463145,486701,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,14,7,9,501367579,228468,271713,438932,474115,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,15,7,9,501376636,225022,295307,443395,472486,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,16,7,9,501360843,270849,314240,432821,464054,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,17,7,9,501309372,175339,221417,429020,470053,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,18,7,9,501294894,184945,230609,196595,234422,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,19,7,9,501238383,183757,233351,382778,419972,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,20,7,9,501285527,181303,224945,416151,415442,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
